17.6, -0.708539, 0.631382
17.7, -0.661, 0.701928
17.8, -0.606905, 0.765513
17.9, -0.547024, 0.821799
18, -0.482089, 0.870493
18.1, -0.412805, 0.911334
18.2, -0.339857, 0.944085
18.3, -0.263919, 0.968529
18.4, -0.185661, 0.984462
18.5, -0.105762, 0.991693
18.6, -0.0249149, 0.990036
18.7, 0.0561599, 0.97932
18.8, 0.136706, 0.959381
18.9, 0.215916, 0.930071
19, 0.292922, 0.891264
19.1, 0.366775, 0.842862
19.2, 0.436429, 0.784814
19.3, 0.500727, 0.717132
19.4, 0.558373, 0.639924
19.5, 0.607916, 0.55343
19.6, 0.647734, 0.458081
19.7, 0.676021, 0.354579
19.8, 0.690799, 0.243991
19.9, 0.689962, 0.127887
20, 0.671375, 0.00849341
20.1, 0.633073, -0.11115
20.2, 0.573578, -0.227072
20.3, 0.492366, -0.334396
20.4, 0.390397, -0.427623
20.5, 0.270551, -0.50127
20.6, 0.137694, -0.550809
20.7, -0.00185032, -0.573595
20.8, -0.141308, -0.569366
20.9, -0.274544, -0.540067
21, -0.396805, -0.489181
21.1, -0.504953, -0.420895
21.2, -0.5973, -0.339439
21.3, -0.673274, -0.248678
21.4, -0.733061, -0.151939
21.5, -0.777318, -0.05198
21.6, -0.806962, 0.0489557
21.7, -0.82303, 0.149068
21.8, -0.826597, 0.246916
21.9, -0.818719, 0.341345
22, -0.800414, 0.431427
22.1, -0.772645, 0.516407
22.2, -0.73632, 0.595669
22.3, -0.69229, 0.668698
22.4, -0.641359, 0.735061
22.5, -0.584287, 0.794386
22.6, -0.521799, 0.846347
22.7, -0.454592, 0.890655
22.8, -0.383344, 0.927045
22.9, -0.30872, 0.955272
23, -0.231385, 0.975107
23.1, -0.152006, 0.986332
23.2, -0.0712676, 0.988735
23.3, 0.010121, 0.982116
23.4, 0.0914146, 0.966283
23.5, 0.17182, 0.941056
23.6, 0.25048, 0.906274
23.7, 0.326462, 0.8618
23.8, 0.398736, 0.807539
23.9, 0.466158, 0.743452
24, 0.527448, 0.669584
24.1, 0.581167, 0.586106
24.2, 0.625699, 0.493363
24.3, 0.659238, 0.391951
24.4, 0.679788, 0.282817
24.5, 0.685198, 0.167384
24.6, 0.673252, 0.0477107
24.7, 0.641842, -0.0733415
24.8, 0.58927, -0.191976
24.9, 0.514695, -0.303441
25, 0.41867, -0.402261
25.1, 0.303631, -0.482812
25.2, 0.174044, -0.540231
25.3, 0.0359967, -0.571386
25.4, -0.103756, -0.575477
25.5, -0.238896, -0.553984
25.6, -0.364366, -0.510066
25.7, -0.476685, -0.447739
25.8, -0.573857, -0.371184
25.9, -0.655049, -0.284294
26, -0.72025, -0.190463
26.1, -0.769968, -0.0925382
26.2, -0.805012, 0.00715049
26.3, -0.826341, 0.106717
26.4, -0.834972, 0.204644
26.5, -0.831921, 0.299708
26.6, -0.818175, 0.390919
26.7, -0.794674, 0.477469
26.8, -0.762308, 0.558693
26.9, -0.721916, 0.634034
27, -0.674289, 0.703021
27.1, -0.620178, 0.765248
27.2, -0.560299, 0.820357
27.3, -0.49534, 0.868028
27.4, -0.42597, 0.907971
27.5, -0.352847, 0.939913
27.6, -0.276624, 0.963598
27.7, -0.197961, 0.978783
27.8, -0.117531, 0.98523
27.9, -0.0360312, 0.982713
28, 0.0458052, 0.971009
28.1, 0.127198, 0.949909
28.2, 0.207307, 0.919218
28.3, 0.285214, 0.87876
28.4, 0.359905, 0.828398
28.5, 0.430255, 0.768042
28.6, 0.494999, 0.69768
28.7, 0.552714, 0.617411
28.8, 0.601796, 0.527497
28.9, 0.640439, 0.428434
29, 0.666639, 0.321047
29.1, 0.678211, 0.206615
29.2, 0.672867, 0.0870291
29.3, 0.648372, -0.0350334
29.4, 0.602824, -0.155958
29.5, 0.535082, -0.271141
29.6, 0.445304, -0.375158
29.7, 0.335475, -0.462282
29.8, 0.209644, -0.527356
29.9, 0.073617, -0.566781
30, -0.0659152, -0.579221
30.1, -0.20249, -0.565674
30.2, -0.330766, -0.528943
30.3, -0.446932, -0.472847
30.4, -0.548675, -0.401491
30.5, -0.634899, -0.31878
30.6, -0.705384, -0.228166
30.7, -0.760482, -0.132574
30.8, -0.800884, -0.034421
30.9, -0.827466, 0.0643262
31, -0.841184, 0.162073
31.1, -0.843007, 0.257529
31.2, -0.833889, 0.349642
31.3, -0.814745, 0.437551
31.4, -0.786445, 0.520543
31.5, -0.749811, 0.598019
31.6, -0.705623, 0.669469
31.7, -0.654619, 0.734453
31.8, -0.597504, 0.792582
31.9, -0.534958, 0.843506
32, -0.46764, 0.886906
32.1, -0.396199, 0.922484
32.2, -0.321277, 0.949959
32.3, -0.243523, 0.969062
32.4, -0.163599, 0.979529
32.5, -0.082191, 0.981107
32.6, -1.71458e-05, 0.973547
32.7, 0.0821569, 0.956608
32.8, 0.163506, 0.930062
32.9, 0.243129, 0.893699
33, 0.320032, 0.847336
33.1, 0.393106, 0.790838
33.2, 0.461108, 0.724134
33.3, 0.522632, 0.647257
33.4, 0.576087, 0.560387
33.5, 0.619677, 0.463922
33.6, 0.651392, 0.358566
33.7, 0.669023, 0.245457
33.8, 0.670222, 0.126319
33.9, 0.652641, 0.00364251
34, 0.614193, -0.119151
34.1, 0.553452, -0.23762
34.2, 0.470195, -0.346421
34.3, 0.365958, -0.439766
34.4, 0.24435, -0.512235
34.5, 0.110859, -0.559797
34.6, -0.0279331, -0.580583
34.7, -0.165461, -0.575091
34.8, -0.296126, -0.545744
34.9, -0.415795, -0.496132
35, -0.521838, -0.430261
35.1, -0.612889, -0.352029
35.2, -0.68851, -0.264934
35.3, -0.748887, -0.171974
35.4, -0.794591, -0.0756447
35.5, -0.826406, 0.0220072
35.6, -0.845219, 0.119313
35.7, -0.851953, 0.214913
35.8, -0.847522, 0.307698
35.9, -0.832814, 0.396751
36, -0.808676, 0.481311
36.1, -0.775913, 0.560738
36.2, -0.735288, 0.634484
36.3, -0.687529, 0.702074
36.4, -0.63333, 0.763086
36.5, -0.573357, 0.817143
36.6, -0.508261, 0.863897
36.7, -0.438678, 0.903026
36.8, -0.365242, 0.934222
36.9, -0.288588, 0.95719
37, -0.209368, 0.971644
37.1, -0.128253, 0.977301
37.2, -0.0459465, 0.973888
37.3, 0.0368002, 0.961133
37.4, 0.119179, 0.938778
37.5, 0.200308, 0.906575
37.6, 0.279213, 0.864304
37.7, 0.354805, 0.811779
37.8, 0.425861, 0.748877
37.9, 0.490997, 0.675564
38, 0.54864, 0.591942
38.1, 0.597007, 0.498311
38.2, 0.63409, 0.395262
38.3, 0.657661, 0.28379
38.4, 0.665325, 0.165454
38.5, 0.654637, 0.0425536
38.6, 0.623337, -0.0816862
38.7, 0.569737, -0.203004
38.8, 0.493248, -0.316165
38.9, 0.394957, -0.415352
39, 0.27802, -0.494931
39.1, 0.147575, -0.55046
39.2, 0.0100416, -0.579555
39.3, -0.12795, -0.582197
39.4, -0.260571, -0.560406
39.5, -0.383381, -0.517512
39.6, -0.493434, -0.4574
39.7, -0.589087, -0.383938
39.8, -0.669678, -0.300661
39.9, -0.735221, -0.210627
40, -0.786155, -0.116407
40.1, -0.823167, -0.0201266
40.2, -0.847072, 0.0764746
40.3, -0.858739, 0.171971
40.4, -0.859043, 0.265191
40.5, -0.848839, 0.355168
40.6, -0.82895, 0.441093
40.7, -0.80016, 0.522281
40.8, -0.763219, 0.598149
40.9, -0.718837, 0.668185
41, -0.667695, 0.731938
41.1, -0.61045, 0.789
41.2, -0.54774, 0.838999
41.3, -0.480189, 0.881583
41.4, -0.408419, 0.916421
41.5, -0.333055, 0.943194
41.6, -0.254733, 0.96159
41.7, -0.17411, 0.971302
41.8, -0.0918767, 0.972029
41.9, -0.00876585, 0.963473
42, 0.0744321, 0.945342
42.1, 0.156854, 0.917357
42.2, 0.237546, 0.879256
42.3, 0.315444, 0.83081
42.4, 0.389346, 0.771842
42.5, 0.457892, 0.702254
42.6, 0.519529, 0.622071
42.7, 0.572493, 0.531503
42.8, 0.614782, 0.431024
42.9, 0.644159, 0.321494
43, 0.658192, 0.204304
43.1, 0.654351, 0.0815671
43.2, 0.630225, -0.0436988
43.3, 0.583879, -0.167424
43.4, 0.514374, -0.284509
43.5, 0.422357, -0.389141
43.6, 0.31052, -0.475513
43.7, 0.183614, -0.538808
43.8, 0.0478596, -0.576138
43.9, -0.0900967, -0.586964
44, -0.224229, -0.572875
44.1, -0.3498, -0.536915
44.2, -0.463555, -0.482818
44.3, -0.563569, -0.414408
44.4, -0.648948, -0.335238
44.5, -0.719525, -0.24842
44.6, -0.775601, -0.156596
44.7, -0.81776, -0.0619627
44.8, -0.846741, 0.0336696
44.9, -0.863353, 0.12881
45, -0.868427, 0.222229
45.1, -0.862784, 0.312906
45.2, -0.847221, 0.399985
45.3, -0.822501, 0.48274
45.4, -0.789351, 0.560548
45.5, -0.74847, 0.632866
45.6, -0.700523, 0.69921
45.7, -0.646155, 0.759143
45.8, -0.585989, 0.812266
45.9, -0.520639, 0.858202
46, -0.450713, 0.896596
46.1, -0.376822, 0.927104
46.2, -0.29959, 0.949389
46.3, -0.219658, 0.963121
46.4, -0.137702, 0.967973
46.5, -0.0544351, 0.963618
46.6, 0.0293695, 0.949736
46.7, 0.11287, 0.926014
46.8, 0.195134, 0.892153
46.9, 0.275121, 0.847879
47, 0.351656, 0.792965
47.1, 0.423401, 0.727253
47.2, 0.488832, 0.650692
47.3, 0.546201, 0.563402
47.4, 0.593522, 0.465748
47.5, 0.628558, 0.358452
47.6, 0.648846, 0.242747
47.7, 0.651787, 0.120551
47.8, 0.634834, -0.00532405
47.9, 0.595827, -0.131014
48, 0.533493, -0.251575
48.1, 0.448051, -0.361239
48.2, 0.341718, -0.454059
48.3, 0.218833, -0.524887
48.4, 0.0853713, -0.570345
48.5, -0.0520468, -0.589371
48.6, -0.187231, -0.583103
48.7, -0.31517, -0.55427
48.8, -0.432302, -0.506431
48.9, -0.536416, -0.443343
49, -0.626384, -0.368562
49.1, -0.701846, -0.285247
49.2, -0.762962, -0.196101
49.3, -0.810204, -0.103389
49.4, -0.844229, -0.00899025
49.5, -0.865785, 0.0855412
49.6, -0.875654, 0.178918
49.7, -0.87462, 0.270067
49.8, -0.86345, 0.358086
49.9, -0.842883, 0.442208
50, -0.813627, 0.521772
50.1, -0.776363, 0.5962
50.2, -0.731741, 0.664977
50.3, -0.68039, 0.72764
50.4, -0.622921, 0.78376
50.5, -0.559935, 0.832938
50.6, -0.492026, 0.874792
50.7, -0.41979, 0.908955
50.8, -0.343837, 0.935068
50.9, -0.264793, 0.952776
51, -0.183315, 0.961726
51.1, -0.100101, 0.961566
51.2, -0.0159022, 0.951947
51.3, 0.0684606, 0.932523
51.4, 0.152079, 0.902959
51.5, 0.233937, 0.862941
51.6, 0.312885, 0.812191
51.7, 0.387615, 0.750492
51.8, 0.456628, 0.677724
51.9, 0.518204, 0.593916
52, 0.570373, 0.499328
52.1, 0.610904, 0.394552
52.2, 0.637316, 0.280657
52.3, 0.646953, 0.159374
52.4, 0.637149, 0.0333021
52.5, 0.605538, -0.0939096
52.6, 0.550534, -0.217493
52.7, 0.471936, -0.331756
52.8, 0.371487, -0.430658
